50 1000
36 45 31
33 19 88
13 30 838
40 4 220
10 40 874
50 49 292
5 39 672
13 36 651
3 14 232
36 11 330
28 8 143
26 22 234
5 44 414
4 35 760
6 4 647
33 48 856
21 22 417
2 37 343
14 24 665
19 10 406
43 44 180
22 39 821
14 8 814
41 27 15
17 24 424
4 44 122
12 10 22
12 4 278
28 17 344
41 13 600
10 22 457
47 2 739
25 11 811
44 19 17
48 29 53
21 49 264
34 40 18
35 10 416
38 26 26
43 23 594
3 8 122
45 7 648
26 5 674
30 31 338
16 12 953
50 42 612
21 7 370
36 24 509
27 48 36
7 15 203
16 36 855
27 44 535
5 19 343
25 14 380
8 25 237
43 25 393
40 7 224
30 24 560
40 41 842
42 41 462
12 35 215
44 9 619
38 19 367
37 32 22
31 28 581
39 29 76
8 37 902
33 29 342
19 17 994
31 15 299
41 44 456
26 7 784
49 20 216
15 50 170
23 25 489
50 29 417
9 2 935
41 16 836
20 34 594
29 22 597
20 11 985
3 29 53
15 32 592
19 42 675
5 25 357
39 12 142
41 24 464
49 2 458
43 49 582
32 13 29
19 16 756
43 14 287
39 4 269
25 36 194
22 30 494
16 32 520
1 33 292
25 24 342
46 4 481
37 28 587
14 34 125
35 11 2
35 43 795
27 18 814
9 24 64
4 42 968
32 21 895
21 41 311
25 38 199
11 31 931
40 22 345
20 5 600
18 25 108
15 29 216
26 34 591
11 18 331
35 42 731
16 35 377
47 35 700
25 2 988
41 25 74
41 1 196
21 10 798
13 48 716
27 32 535
9 30 605
17 20 546
21 44 734
26 20 900
29 40 279
20 22 221
7 48 47
21 34 540
16 13 516
47 18 178
11 37 281
11 26 748
1 17 427
13 2 352
19 40 204
39 44 224
48 45 473
27 7 267
49 47 926
2 19 992
49 35 393
48 19 698
37 12 80
39 8 931
13 14 757
28 9 703
13 6 785
42 11 299
8 35 556
28 25 678
45 23 19
31 14 479
9 20 257
44 8 285
28 10 163
47 1 835
40 47 646
34 49 29
42 8 673
37 19 445
29 4 186
38 46 756
6 2 412
17 36 290
44 12 370
9 19 672
11 27 662
20 13 791
41 26 946
19 34 934
33 2 329
39 26 708
46 17 625
31 13 510
42 10 756
27 36 353
22 12 614
24 12 578
40 6 50
7 5 527
37 38 92
34 38 769
20 1 93
46 13 44
31 21 511
45 38 236
26 3 177
16 1 17
46 48 111
47 31 421
50 16 399
37 29 566
8 20 192
36 18 716
3 50 674
47 45 896
34 2 126
25 32 716
42 6 318
25 10 107
2 35 4
43 4 107
7 2 462
26 35 96
41 10 992
36 23 761
28 34 137
28 49 368
15 30 330
3 23 819
8 7 109
49 40 200
43 26 749
4 21 858
45 33 37
6 5 548
25 1 43
50 12 211
9 4 963
15 10 784
8 22 64
37 36 585
24 35 352
17 42 881
2 38 84
2 3 276
16 22 31
7 17 7
5 29 70
15 17 501
13 27 261
32 18 214
4 37 90
29 23 767
12 26 9
16 34 556
18 37 194
21 5 158
19 28 697
34 10 675
36 15 360
40 39 801
44 30 876
20 19 609
32 20 55
14 19 897
40 21 61
44 10 827
16 8 459
16 7 946
29 7 624
50 34 614
34 4 681
7 38 795
13 28 986
22 41 848
9 3 946
9 34 740
28 14 572
20 33 487
32 34 721
4 32 469
36 38 784
48 49 731
33 41 869
42 49 948
24 22 546
12 31 980
8 12 20
35 3 879
1 40 550
16 43 184
48 2 352
41 38 353
17 4 482
43 2 79
15 14 341
46 16 742
48 6 330
40 17 357
17 43 933
45 12 919
12 42 785
4 13 650
45 28 739
46 5 29
11 22 275
13 17 703
24 50 654
11 10 16
20 43 22
1 32 674
40 35 591
2 28 151
50 40 248
37 22 374
20 23 389
10 39 577
47 10 796
25 13 148
48 26 780
12 38 702
40 44 476
19 23 601
44 34 681
11 50 61
28 43 812
30 28 879
22 14 571
12 13 10
28 27 961
18 34 616
50 48 518
47 33 740
21 50 40
32 12 621
24 16 314
11 17 64
4 50 739
15 41 366
47 44 380
47 29 590
9 25 99
38 9 767
43 47 49
39 43 386
27 15 384
21 27 325
23 12 828
48 21 454
20 47 461
12 18 390
31 40 108
48 11 625
2 14 559
38 43 33
49 25 209
10 16 422
13 29 346
17 6 677
3 40 468
14 46 124
7 44 967
9 27 379
13 34 975
21 38 629
11 21 387
9 16 239
25 21 923
9 50 890
35 45 779
5 49 177
2 29 846
35 31 590
13 50 140
25 46 36
3 27 995
41 50 407
47 50 568
1 38 151
24 10 495
3 22 107
33 7 231
10 14 799
50 6 864
15 37 582
25 20 426
6 26 818
32 2 235
40 24 783
1 36 502
40 16 481
36 30 417
48 16 256
36 8 795
37 42 891
35 36 875
39 15 227
33 37 755
6 39 462
47 24 670
29 43 409
15 46 403
44 46 181
21 47 389
19 6 604
42 31 401
28 5 824
8 18 644
36 40 715
25 29 396
13 35 933
2 46 620
24 26 281
35 19 430
44 49 266
31 5 386
30 25 367
41 28 865
15 23 921
15 45 309
2 22 568
10 3 781
6 49 271
40 23 614
11 45 809
1 7 0
45 31 670
47 26 72
13 21 530
44 42 301
18 39 657
48 40 48
17 9 344
7 22 559
18 14 174
20 41 510
44 35 225
25 34 209
42 36 406
3 41 965
15 13 780
43 42 43
19 41 914
8 4 992
18 45 281
50 33 973
49 18 815
38 16 294
13 3 194
30 11 340
8 23 47
23 7 839
34 22 103
36 33 554
6 22 385
46 8 140
35 1 48
33 25 718
10 2 635
21 16 559
7 4 34
34 33 12
15 5 144
4 10 54
44 36 310
47 19 310
24 37 774
15 48 634
45 41 578
23 44 888
33 5 874
5 3 189
15 35 21
49 11 112
36 26 56
19 46 885
4 16 285
25 50 64
28 48 149
18 48 306
13 23 558
26 21 294
16 33 405
18 29 934
20 3 995
47 11 159
37 9 610
17 26 232
33 39 509
26 50 903
45 8 240
37 30 779
11 40 742
33 9 583
27 6 741
38 13 710
27 2 766
5 41 680
11 29 435
34 11 552
26 29 789
10 36 312
37 46 289
11 5 901
40 5 925
1 45 435
33 22 41
19 1 96
36 41 791
49 36 916
24 46 275
33 24 607
40 27 262
35 20 367
27 4 720
7 12 681
17 29 587
10 9 668
22 4 533
43 46 756
40 25 195
32 50 380
22 36 824
29 19 895
32 10 326
50 22 599
12 46 633
28 22 518
34 46 601
31 6 5
32 41 975
1 31 509
37 27 773
34 12 377
21 45 44
39 50 53
22 38 583
21 15 131
42 33 295
45 26 684
47 46 761
1 9 176
7 50 14
10 26 917
14 27 889
46 6 363
46 42 801
34 48 877
3 37 741
33 10 782
24 44 943
22 46 724
33 46 370
50 20 907
49 19 606
50 23 526
15 34 868
28 24 383
20 18 608
