1000 200000
351 963 228
670 6 117
195 402 367
785 841 151
720 771 589
26 855 137
352 780 182
789 773 503
594 455 286
916 413 861
800 967 318
725 503 558
550 727 696
263 77 853
531 863 429
211 231 115
854 790 237
922 401 686
469 447 371
846 658 712
18 321 968
27 896 251
706 76 820
102 765 455
996 969 272
612 917 585
593 548 82
58 593 318
22 500 222
957 516 295
837 224 2
687 806 992
339 200 366
668 202 514
312 206 878
300 219 829
539 313 227
394 213 350
689 884 572
139 885 148
811 877 638
959 185 168
952 209 733
961 501 406
292 357 121
281 845 516
848 181 104
392 791 806
515 814 823
919 262 938
476 212 408
92 137 431
594 559 150
868 538 893
149 366 676
605 154 526
774 261 824
418 408 406
115 482 94
788 547 426
744 821 126
884 759 254
427 475 783
537 322 936
272 633 142
8 852 658
8 338 449
211 909 827
151 134 207
659 656 891
669 869 892
593 371 211
443 108 395
222 913 902
490 928 285
312 338 724
833 199 924
417 488 248
348 787 556
396 413 889
198 781 91
103 564 646
691 788 574
436 652 130
431 576 389
202 534 499
847 373 547
97 553 244
803 757 183
904 996 674
786 40 856
6 672 911
61 30 668
285 633 990
900 657 232
61 95 357
30 805 36
433 909 575
947 381 903
625 711 944
123 569 719
516 297 927
58 777 135
143 529 381
467 260 563
417 895 285
620 612 159
338 605 847
276 213 267
465 672 706
17 377 737
263 319 38
86 411 921
105 293 738
440 607 683
5 859 185
745 995 621
189 602 644
734 259 760
704 387 376
283 364 446
821 161 596
790 640 88
983 495 231
413 455 905
32 27 183
258 204 790
820 861 159
406 844 632
928 852 96
49 614 280
459 369 598
856 994 749
895 1000 515
729 422 197
54 910 273
74 798 559
871 25 511
808 605 450
488 533 121
94 864 869
679 507 593
942 190 38
768 991 923
116 545 137
868 961 878
5 261 231
47 286 283
119 945 806
221 681 864
459 494 172
524 873 155
935 103 581
539 910 348
639 928 797
879 720 688
302 929 685
231 509 402
212 162 728
573 844 941
640 302 922
94 530 254
26 942 70
291 731 211
813 522 536
882 540 61
803 933 733
789 90 201
441 305 976
226 727 276
308 787 239
329 996 736
54 583 402
708 321 269
618 780 611
191 395 841
368 142 667
345 983 698
761 37 235
466 637 354
433 752 233
849 921 975
7 95 310
925 481 205
855 352 733
432 619 378
334 177 671
135 922 827
531 251 113
608 630 798
345 821 383
584 60 233
491 548 306
305 391 47
383 733 510
816 589 57
595 232 344
494 678 95
430 982 536
621 973 635
191 485 740
128 562 474
866 125 589
781 41 429
525 74 401
664 123 982
719 473 745
780 597 552
209 515 847
568 840 639
571 616 623
215 256 940
936 18 908
786 691 218
72 926 231
9 941 614
426 374 684
957 34 871
897 586 616
150 319 40
802 494 779
357 159 875
347 83 922
621 781 489
864 837 592
249 410 749
342 819 987
315 839 646
329 244 693
442 158 33
12 785 693
485 647 744
397 395 493
74 153 579
553 588 245
652 52 711
242 9 588
50 673 29
788 446 24
287 611 207
151 862 421
112 308 805
557 910 538
901 663 130
708 79 633
976 574 647
920 858 823
154 539 862
713 321 396
114 656 978
377 589 981
908 766 262
580 464 372
596 311 561
385 861 650
421 839 862
414 545 693
624 468 136
456 887 403
186 89 875
280 878 663
64 634 873
52 173 197
893 528 88
115 210 977
336 726 726
161 768 935
335 893 176
238 333 778
68 410 130
777 882 631
737 15 424
460 737 310
403 298 338
166 223 340
21 715 787
660 541 462
755 603 977
294 309 341
167 821 892
459 162 931
215 664 123
615 8 337
977 831 511
232 707 533
374 287 833
731 146 398
991 786 432
14 937 463
276 740 719
534 626 110
487 515 879
776 959 590
462 517 273
461 452 799
21 825 995
312 762 346
497 566 324
42 721 66
645 764 494
376 189 275
380 758 123
46 815 119
354 408 745
77 580 768
103 786 120
566 555 375
653 978 625
537 446 549
619 25 805
273 309 106
129 586 41
161 752 531
883 992 699
705 597 466
582 650 41
654 271 997
898 966 858
529 476 367
308 502 903
216 92 400
759 3 978
870 349 141
626 6 644
976 814 66
597 893 472
257 772 620
86 464 113
244 700 926
455 331 284
804 662 799
447 41 578
657 762 408
275 591 666
827 51 567
864 645 107
469 413 997
725 581 766
717 602 896
767 125 362
915 106 692
296 305 13
883 131 37
391 194 877
530 835 307
288 480 369
537 802 368
66 71 725
648 938 451
74 213 853
867 697 589
850 356 746
555 747 870
7 864 897
321 62 280
826 88 928
641 740 243
893 835 831
935 598 147
271 934 321
81 559 151
648 973 486
847 505 741
260 740 956
609 667 295
737 994 70
528 480 192
501 376 678
241 382 835
557 859 629
371 683 682
915 773 799
737 103 93
905 354 208
251 895 119
737 261 128
959 739 315
140 729 765
485 231 492
358 47 979
772 694 145
500 340 457
241 970 159
603 506 290
15 988 419
196 532 965
536 5 990
503 395 804
826 303 761
934 630 365
327 706 629
32 980 965
668 995 164
597 580 82
291 88 413
724 54 164
127 96 545
214 274 535
197 764 505
464 272 250
988 55 764
967 323 563
536 351 419
304 872 816
475 455 903
263 301 279
217 497 703
992 659 146
56 449 482
232 243 256
487 190 270
40 936 995
490 98 350
401 106 894
483 231 310
519 602 328
798 25 997
120 743 404
882 508 952
657 733 656
492 274 53
768 247 906
441 111 218
794 136 11
912 785 909
830 766 193
120 644 854
831 277 586
940 905 326
545 413 310
522 111 155
226 493 614
284 46 670
635 814 931
476 318 779
725 320 301
970 985 298
346 490 769
189 912 206
714 820 50
412 764 610
131 589 481
733 141 813
283 275 276
795 143 362
769 792 740
138 496 801
52 618 345
85 953 662
810 904 177
286 897 597
408 856 180
126 458 341
834 637 942
925 215 361
716 196 123
323 56 346
723 518 674
502 405 321
694 882 381
375 223 63
500 147 834
832 347 318
994 527 188
617 861 83
248 235 522
15 224 883
397 652 454
430 950 246
826 480 342
287 662 643
434 664 817
67 909 442
487 400 280
441 782 218
372 705 175
47 324 733
684 53 228
852 92 761
